3,3,5,5,12,64,606,628,89,5,34,14,66,67,7,6,38,41,0,16,506,598,412,383,318,420,188,37,471,227,516,270,30,40,24,3,9,15,56,28,44,41,2,19,19,8
10,12,4,7,25,249,673,395,2,3,30,36,53,64,19,1,16,10,13,105,628,511,486,294,351,304,130,38,356,392,380,455,15,39,43,23,13,17,57,30,43,41,2,1,8,5
40,54,11,4,6,485,669,157,47,21,12,41,23,40,18,11,19,1,29,258,685,285,562,147,397,224,110,114,216,420,144,548,110,5,21,48,36,18,61,33,42,42,0,8,20,8
61,106,42,12,127,664,556,16,36,37,15,21,9,24,14,1,11,3,10,440,678,28,572,4,396,154,92,159,87,339,126,495,249,18,15,38,58,4,60,32,43,43,1,13,16,10
73,92,21,16,296,682,341,32,2,17,20,5,18,12,12,4,7,12,78,620,611,229,550,181,364,77,88,112,28,241,358,325,416,29,5,15,39,15,33,31,27,35,5,9,0,8
59,24,34,94,415,540,121,35,6,4,0,5,31,1,1,14,1,35,196,722,500,413,494,332,306,42,105,36,16,162,499,77,507,77,21,3,18,25,13,51,16,5,1,4,18,3
17,7,20,124,458,385,8,30,4,6,2,1,24,12,3,18,0,45,247,648,337,435,331,365,238,117,86,35,23,61,482,200,401,152,21,55,75,93,47,145,113,40,5,10,20,17
1,2,16,170,502,299,49,33,1,1,2,0,6,18,12,18,5,23,263,469,127,357,100,295,176,236,45,100,21,22,282,374,146,240,16,94,5,221,34,221,231,169,65,0,54,87
0,9,12,313,578,228,51,36,5,10,7,4,8,21,25,19,12,57,405,396,66,383,19,265,92,200,64,93,66,11,56,380,67,315,78,35,182,260,17,141,179,288,247,4,205,109
29,23,15,474,594,130,41,26,7,3,3,9,18,26,27,19,26,188,609,413,207,503,29,282,10,88,37,7,48,42,36,318,194,306,174,16,219,170,45,17,3,201,326,40,231,24
61,37,75,583,518,39,32,10,1,8,21,17,28,28,28,16,34,299,667,358,306,515,113,278,10,95,54,12,64,39,35,231,332,211,327,8,120,51,39,27,49,64,168,44,100,21
43,28,208,620,383,1,29,13,8,8,25,31,37,26,37,10,29,373,617,245,388,420,257,288,4,105,6,60,59,2,17,115,452,33,454,63,31,10,21,9,8,13,23,13,14,3
15,11,382,611,225,5,18,25,2,21,16,33,42,20,48,1,5,462,567,134,468,336,344,296,5,57,94,53,8,5,16,28,444,193,446,205,10,9,7,10,7,4,6,5,3,5
9,22,513,579,100,9,3,23,8,7,18,23,50,14,56,12,99,549,468,12,511,266,392,283,9,42,97,56,19,17,19,12,314,374,288,352,5,10,4,4,4,2,7,11,1,18
9,44,513,566,94,6,0,16,13,9,26,14,65,10,69,15,228,585,326,104,512,194,443,281,42,55,74,72,5,26,2,24,145,464,51,437,64,21,16,5,0,0,1,3,2,14
5,18,330,549,278,33,3,14,18,15,27,4,80,3,85,7,346,584,213,202,506,85,482,254,100,59,75,73,3,9,24,7,15,426,195,420,211,18,13,7,2,4,3,7,1,3
2,0,113,363,456,247,44,16,19,22,23,11,90,5,94,21,446,560,127,309,484,106,467,166,115,50,80,53,4,0,18,19,19,269,397,270,387,8,6,4,4,4,1,4,1,9
5,13,28,88,423,501,165,3,30,33,14,28,96,11,92,78,524,500,48,397,389,293,365,68,58,39,58,23,5,8,10,21,6,107,455,68,470,52,11,5,10,2,0,6,2,2
17,20,18,30,353,547,247,78,32,51,27,30,101,13,82,164,573,410,15,416,201,372,198,19,9,23,27,8,15,16,16,10,17,29,317,70,348,104,16,8,14,5,4,17,5,1
16,14,10,26,369,476,198,188,54,50,57,7,85,17,79,263,585,308,58,445,78,423,121,6,13,4,14,7,12,6,12,7,12,10,148,242,146,248,4,13,7,2,5,17,5,3
8,2,3,20,383,463,60,186,217,21,39,40,36,28,89,378,565,198,113,508,67,484,166,1,19,4,12,4,11,3,8,6,19,8,76,434,7,433,67,27,3,9,7,11,9,11
2,12,5,15,382,489,58,38,303,157,38,18,2,22,111,511,517,86,195,491,12,463,167,0,12,14,27,31,30,4,10,5,27,11,14,443,210,452,220,32,19,4,17,10,11,20
4,10,4,5,382,498,94,138,203,263,180,45,20,33,180,565,412,21,289,424,163,406,129,0,19,5,50,40,21,5,5,6,18,11,31,299,423,288,387,1,34,14,20,1,8,14
7,1,1,5,383,485,88,221,26,228,341,154,73,155,267,461,273,9,359,376,269,359,102,0,18,3,35,20,10,21,6,6,14,12,18,138,495,67,468,56,30,22,19,20,7,3
14,3,5,20,381,458,69,215,75,96,390,247,138,281,298,321,174,16,315,245,247,235,69,4,3,11,1,5,3,13,13,5,12,11,4,34,367,17,366,35,23,20,11,28,1,6
12,5,9,41,361,407,30,171,127,17,325,242,114,238,318,284,114,56,177,6,140,18,28,1,4,17,12,18,11,1,7,0,5,8,3,1,163,33,164,42,27,12,2,14,11,1
16,12,7,56,356,342,9,100,193,83,242,213,12,140,363,298,59,76,83,182,79,126,9,2,6,5,7,16,18,5,6,4,9,15,9,8,62,8,72,23,39,1,14,11,23,3
26,4,3,60,375,284,22,19,260,131,210,237,90,98,415,320,32,92,49,207,42,115,1,5,6,7,5,11,10,4,9,2,4,23,0,4,21,59,66,44,54,0,19,9,18,13
21,9,4,69,387,250,7,12,300,162,223,224,138,6,409,370,37,128,7,200,33,66,20,16,5,17,17,2,13,3,8,9,8,12,12,14,4,74,47,73,56,19,0,17,6,27
6,12,9,92,384,252,58,56,308,123,251,118,91,136,298,401,50,165,85,199,100,36,10,21,15,20,29,8,30,8,12,15,4,8,4,31,10,57,12,83,16,31,8,14,31,30
7,6,5,108,364,275,71,169,302,24,325,26,21,205,217,403,54,170,134,188,124,15,3,6,7,14,24,8,28,14,16,3,7,21,4,36,30,28,29,80,39,35,14,8,39,25
25,7,8,130,342,272,27,231,304,34,431,16,173,173,204,384,19,146,164,156,136,8,3,8,10,8,23,26,27,21,20,4,16,30,2,25,30,10,47,60,55,56,18,8,20,21
